,date,open,high,low,close,volume,capitalization,currency,secid
1862,2003-03-13,2.9172,2.9172,2.9172,2.9172,0.0,0.0,USD,STOOQ:rubeur
1863,2003-03-14,2.9575,2.9575,2.9575,2.9575,0.0,0.0,USD,STOOQ:rubeur
1864,2003-03-17,2.9492,2.9492,2.9492,2.9492,0.0,0.0,USD,STOOQ:rubeur
1865,2003-03-18,3.002,3.002,3.002,3.002,0.0,0.0,USD,STOOQ:rubeur
1866,2003-03-19,2.9966,2.9966,2.9966,2.9966,0.0,0.0,USD,STOOQ:rubeur
1867,2003-03-20,3.003,3.003,3.003,3.003,0.0,0.0,USD,STOOQ:rubeur
1868,2003-03-21,3.0099,3.0099,3.0099,3.0099,0.0,0.0,USD,STOOQ:rubeur
1869,2003-03-24,2.9945,2.9945,2.9945,2.9945,0.0,0.0,USD,STOOQ:rubeur
1870,2003-03-25,2.9735,2.9735,2.9735,2.9735,0.0,0.0,USD,STOOQ:rubeur
1871,2003-03-26,2.9894,2.9894,2.9894,2.9894,0.0,0.0,USD,STOOQ:rubeur
1872,2003-03-27,2.9696,2.9696,2.9696,2.9696,0.0,0.0,USD,STOOQ:rubeur
1873,2003-03-28,2.9725,2.9725,2.9725,2.9725,0.0,0.0,USD,STOOQ:rubeur
1874,2003-03-31,2.9306,2.9306,2.9306,2.9306,0.0,0.0,USD,STOOQ:rubeur
1875,2003-04-01,2.9314,2.9314,2.9314,2.9314,0.0,0.0,USD,STOOQ:rubeur
1876,2003-04-02,2.9485,2.9485,2.9485,2.9485,0.0,0.0,USD,STOOQ:rubeur
1877,2003-04-03,2.9749,2.9749,2.9749,2.9749,0.0,0.0,USD,STOOQ:rubeur
1878,2003-04-04,2.9807,2.9807,2.9807,2.9807,0.0,0.0,USD,STOOQ:rubeur
1879,2003-04-07,3.0233,3.0233,3.0233,3.0233,0.0,0.0,USD,STOOQ:rubeur
1880,2003-04-08,2.9843,2.9843,2.9843,2.9843,0.0,0.0,USD,STOOQ:rubeur
1881,2003-04-09,2.9711,2.9711,2.9711,2.9711,0.0,0.0,USD,STOOQ:rubeur
1882,2003-04-10,2.9685,2.9685,2.9685,2.9685,0.0,0.0,USD,STOOQ:rubeur
1883,2003-04-11,2.9717,2.9717,2.9717,2.9717,0.0,0.0,USD,STOOQ:rubeur
1884,2003-04-14,2.9813,2.9813,2.9813,2.9813,0.0,0.0,USD,STOOQ:rubeur
1885,2003-04-15,2.9821,2.9821,2.9821,2.9821,0.0,0.0,USD,STOOQ:rubeur
1886,2003-04-16,2.9581,2.9581,2.9581,2.9581,0.0,0.0,USD,STOOQ:rubeur
1887,2003-04-17,2.9368,2.9368,2.9368,2.9368,0.0,0.0,USD,STOOQ:rubeur
1888,2003-04-18,2.9439,2.9439,2.9439,2.9439,0.0,0.0,USD,STOOQ:rubeur
1889,2003-04-22,2.9367,2.9367,2.9367,2.9367,0.0,0.0,USD,STOOQ:rubeur
1890,2003-04-23,2.9342,2.9342,2.9342,2.9342,0.0,0.0,USD,STOOQ:rubeur
1891,2003-04-24,2.921,2.921,2.921,2.921,0.0,0.0,USD,STOOQ:rubeur
1892,2003-04-25,2.925,2.925,2.925,2.925,0.0,0.0,USD,STOOQ:rubeur
1893,2003-04-28,2.918,2.918,2.918,2.918,0.0,0.0,USD,STOOQ:rubeur
1894,2003-04-29,2.9258,2.9258,2.9258,2.9258,0.0,0.0,USD,STOOQ:rubeur
1895,2003-04-30,2.8886,2.8886,2.8886,2.8886,0.0,0.0,USD,STOOQ:rubeur
1896,2003-05-02,2.8645,2.8645,2.8645,2.8645,0.0,0.0,USD,STOOQ:rubeur
1897,2003-05-05,2.8659,2.8659,2.8659,2.8659,0.0,0.0,USD,STOOQ:rubeur
1898,2003-05-06,2.8348,2.8348,2.8348,2.8348,0.0,0.0,USD,STOOQ:rubeur
1899,2003-05-07,2.824,2.824,2.824,2.824,0.0,0.0,USD,STOOQ:rubeur
1900,2003-05-08,2.8333,2.8333,2.8333,2.8333,0.0,0.0,USD,STOOQ:rubeur
